run,style,seq,width,height,n_pos,empty,body_repeat,median_cycles,min_cycles,max_cycles,check,rel_err,rel_l_err,cos_sim,kv_bytes,timer_pair_cycles
out_block_1024,block,1024,32,256,4,False,1,10316.0,10316,10316,PASS,7.439762659667536e-08,8.797081818556762e-08,0.9999999315713644,64,11
out_block_1024_32x128,block,1024,32,128,8,False,1,7199.0,7198,7202,PASS,7.439762659667536e-08,0.0,0.9999999999999992,128,11
out_block_1024_64x256,block,1024,64,256,4,False,1,11310.0,11310,11310,PASS,7.439762659667536e-08,8.797081818556762e-08,0.9999999999999992,32,11
out_block_16384,block,16384,32,256,64,False,1,17136.5,17136,17139,PASS,1.0284303396823137e-07,7.409344249253991e-08,1.0,1024,11
out_block_2048,block,2048,32,256,8,False,1,10771.0,10771,10771,PASS,9.038509836549998e-08,8.942087248442476e-08,0.999999936236783,128,11
out_block_256,block,256,32,256,1,False,1,10050.0,10050,10050,PASS,7.927618936481381e-08,8.695516839907214e-08,1.0,16,11
out_block_32768,block,32768,32,256,128,False,1,24450.5,24448,24453,PASS,2.0509072085491656e-07,1.480793798691593e-07,1.0,2048,11
out_block_4096,block,4096,32,256,16,False,1,11651.5,11644,11660,PASS,2.2482130640513654e-07,7.508942445610955e-08,1.0000001019827383,256,11
out_block_65536,block,65536,32,256,256,False,1,39077.0,39077,39080,PASS,4.101814417098331e-07,2.961587597383186e-07,0.9999999187588101,4096,11
out_block_65536_64x128,block,65536,64,128,512,False,1,63621.0,63620,63621,PASS,2.0509072085491656e-07,2.2211905559288425e-07,0.9999999999999976,4096,11
out_block_8192,block,8192,32,256,32,False,1,13478.0,13476,13496,PASS,1.05985038727993e-07,7.584149130934748e-08,1.0,512,11
out_block_8192_64x128,block,8192,64,128,64,False,1,14181.0,14180,14184,PASS,1.05985038727993e-07,7.584149130934748e-08,0.9999999999999974,512,11
out_farm_1024,farm,1024,32,256,1,False,1,19817.0,19814,19823,PASS,2.6036654998029767e-07,8.797741202215548e-08,0.9999999999999881,512,11
out_farm_1024_64x128,farm,1024,64,128,1,False,1,15745.5,15743,15754,PASS,2.2317132855454088e-07,1.7595482404431095e-07,0.9999999999999882,512,11
out_farm_16384,farm,16384,32,256,2,False,1,20289.0,20286,20303,PASS,4.6277518669379423e-07,1.48194061466711e-07,0.9999999999999846,1024,11
out_farm_2048,farm,2048,32,256,1,False,1,19817.0,19816,19825,PASS,3.0112001589913684e-07,8.942760842955977e-08,0.9999999999999791,512,11
out_farm_256,farm,256,32,256,1,False,1,19814.5,19812,19820,PASS,1.9814371046289936e-07,8.696157749454869e-08,0.9999999999999868,512,11
out_farm_32768,farm,32768,32,256,4,False,1,21279.0,21275,21279,PASS,2.563281262495996e-07,1.4808485104822466e-07,0.9999999999999878,2048,11
out_farm_4096,farm,4096,32,256,1,False,1,19822.5,19821,19830,PASS,4.07354816495926e-07,1.5019011812000826e-07,0.9999999999999772,512,11
out_farm_65536,farm,65536,32,256,8,False,1,24270.0,24267,24278,PASS,3.0762554506119495e-07,2.2212552153177967e-07,0.9999999999999855,4096,11
out_farm_65536_64x128,farm,65536,64,128,8,False,1,20204.0,20202,20213,PASS,2.0508369670746327e-07,7.404184287906901e-08,0.999999999999995,4096,11
out_farm_8192,farm,8192,32,256,1,False,1,19820.5,19818,19826,PASS,2.64866590936011e-07,7.584718275666091e-08,0.9999999999999895,512,11
out_farm_8192_64x128,farm,8192,64,128,1,False,1,15749.5,15747,15755,PASS,2.516232613892104e-07,7.584718275666091e-08,0.9999999999999907,512,11
out_floor_block,block,256,32,256,1,True,1,6639.0,6639,6639,skipped,,,,16,11
out_floor_block_64x128,block,256,64,128,2,True,1,4399.0,4399,4399,skipped,,,,16,11
out_floor_farm,farm,256,32,256,1,True,1,6608.0,6608,6608,skipped,,,,512,11
out_floor_farm_64x128,farm,256,64,128,1,True,1,4336.0,4336,4336,skipped,,,,512,11
out_mm1_farm_16384,farm,16384,32,256,2,False,1,20360.0,20358,20370,PASS,4.6277518669379423e-07,1.48194061466711e-07,0.9999999999999846,1024,11
out_rep3_block_16384,block,16384,32,256,64,False,3,38105.0,38100,38108,skipped,,,,1024,11
out_rep3_block_256,block,256,32,256,1,False,3,16790.0,16790,16790,skipped,,,,16,11
out_rep3_block_4096,block,4096,32,256,16,False,3,21617.0,21615,21632,skipped,,,,256,11
out_rep3_block_65536,block,65536,32,256,256,False,3,103949.0,103947,103953,skipped,,,,4096,11
out_rep3_farm_16384,farm,16384,32,256,2,False,3,46871.0,46871,46877,skipped,,,,1024,11
out_rep3_farm_256,farm,256,32,256,1,False,3,45473.0,45473,45490,skipped,,,,512,11
out_rep3_farm_4096,farm,4096,32,256,1,False,3,45455.0,45455,45470,skipped,,,,512,11
out_rep3_farm_65536,farm,65536,32,256,8,False,3,58805.0,58799,58819,skipped,,,,4096,11
out_rep5_block_65536,block,65536,32,256,256,False,5,168836.0,168832,168840,skipped,,,,4096,11
out_rep5_farm_65536,farm,65536,32,256,8,False,5,93322.5,93319,93327,skipped,,,,4096,11
